1.9322	The Silver Pagodas from the Jin Dynasty at the base of the Yinshan mountains. Nearly 1000 years old.	山脚下的金代银山塔林。近千年之久。
1.7609	Willow’s first White House Christmas!	Willow在白宫过的第一个圣诞节！
1.7574	Picture perfect ending! WinterOlympics x ClosingCeremony	完美收官！ 冬奥会 x 闭幕式
1.7544	Nothing better on a beautiful autumn day than to walk along the Great Wall as I did last weekend.	宜人的秋日，走上长城，如我的上周行，再好不过了。
1.7485	Back on 复兴号 and hurtling through the Chinese countryside at an impressive speed.	再次坐上复兴号，风驰电掣地穿行在中国的乡间。
1.7144	"His death takes a key terrorist off the field and degrades the ability of ISIS to plan and conduct their operations in the region." Full statement on the successful execution of an airstrike against one of the top leaders of ISIS, Maher al Agal ️	“他的死亡从实地清除了一名关键的恐怖分子，极大削弱了‘伊斯兰国’在该地区策划并展开行动的能力。” 拜登总统 关于对“伊斯兰国”高级首领马赫尔·阿加尔(Maher al-Agal)成功发动打击的声明全文请见：
1.7106	5 ways Localization happens in 5 different contexts. 1️⃣ Kenya 2️⃣ Burma 3️⃣ Nepal 4️⃣ Uganda 5️⃣ Paraguay Read now:	本地化 Localization 以5种方式在5种不同的情境下发生。 肯尼亚 缅甸 尼泊尔 乌干达 巴拉圭
1.7081	For all of us who lived through the end of the Cold War, this is moving.	对于我们所有经历了冷战结束的人来说，这让人动容。
1.6777	The negotiating mandate sets out the broad objectives shared by the two sides for the upcoming trade negotiations. It is expected that the first round of negotiations will take place early this fall.	谈判任务设置了双方对即将举行的贸易谈判的广泛共同目标。预计第一轮谈判将于今年初秋举行。
1.6728	IMPACT SUCCESS! Watch from DARTMIssion’s DRACO Camera, as the vending machine-sized spacecraft successfully collides with asteroid Dimorphos, which is the size of a football stadium and poses no threat to Earth.	撞击成功！售货机大小的探测器成功撞击了小行星迪莫弗斯（Dimorphos），迪莫弗斯有足球场大小，对地球没有威胁。从“双小行星重定向试验”（DART)任务 DARTMIssion 的DRACO相机视角观看视频。
1.6652	Check out the bright waves, swirls, and vortices in Jupiter’s atmosphere — as well as the dark ring system, one million times fainter than the planet! Two moons of Jupiter, including one that’s only about 12 miles (20 km) across, are on the left.	看看木星大气层中明亮的波浪、漩涡和涡流——以及比木星暗100万倍的暗环系统！左边是木星的两个卫星，其中一个直径只有约12英里（20公里）长。
1.6647	Today, Gulshan Abbas spends another birthday unjustly detained in Xinjiang. Her daughters cannot call her or send her flowers on this special day and her grandchildren go another year without knowing her. She deserves to be released and reunited with her loved ones.	今天，古丽仙·阿巴斯（Gulshan Abbas）又在新疆被不公正地拘押中度过了一个生日。在这个特殊的日子里，她的女儿们无法给她打电话或送花，又是一年，她的孙辈们还是不认识她。她理应被释放，与她的所爱之人团聚。
1.6606	Read more about the U.S. ban on imports of Russian oil, liquefied natural gas, and coal:	关于美国禁止进口俄罗斯的石油、液化天然气和煤炭，阅读更多：
1.6536	Annually, the Philippines loses 40% of the country’s fishing economy to illegal, unreported and unregulated fishing. These fisherwomen created local organizations to promote sustainable fishing practices, after receiving leadership training from :	菲律宾每年因非法、不报告和不受管制的捕捞活动损失高达13亿美元，约占该国渔业经济的40%。这些渔民在接受 的领导力培训后创建了当地组织来促进可持续捕鱼作业：
1.6533	The following countries' Travel Advisories have been updated and are Level 3 - Reconsider Travel: ️ China ️ Colombia ️ Cote d'Ivoire ️ El Salvador ️ Mauritania ️ Sri Lanka ️ Uganda To see individual Travel Advisories, click here:	针对下列国家的旅行警告已更新为三级 - 重新考虑旅行计划： ️ 中国 ️ 哥伦比亚 ️ 科特迪瓦 ️ 萨尔瓦多 ️ 毛里塔尼亚 ️ 斯里兰卡 ️ 乌干达 点击链接，阅读针对各国各地区的旅行警告：
1.6505	1. Make way for the king of the solar system!  New Webb images of Jupiter highlight the planet's features, including its turbulent Great Red Spot (shown in white here), in amazing detail. These images were processed by citizen scientist Judy Schmidt:	1. 为太阳系的国王开路! 韦伯的新图像突出了木星的特征，包括其动荡的大红斑（此处显示为白色），细节令人惊叹。这些图像是由公民科学家Judy Schmidt处理的：
1.6503	These kinds of mass shootings rarely happen elsewhere in the world. Why are we willing to live with this carnage? Why do we keep letting this happen? Where in God’s name is our backbone to have the courage to deal with it? It’s time to turn this pain into action.	这类大规模枪击事件在世界其他地方很少发生。 为什么我们愿意忍受这场大屠杀？为什么我们总是让这种情况发生？以上帝的名义，我们勇于应对的脊梁在哪里？ 是时候将这种痛苦转化为行动了。
1.6491	Very impressed by Beijing’s art district 798 and the many innovative Chinese artists.	北京798艺术区和众多中国艺术家的创新巧思，让我赞叹不已。
1.6467	My second booster didn’t hurt a bit. If you’re 50 and older or immunocompromised, get your second booster as soon as you’re eligible.	拜登总统：我的第二剂加强针一点也不疼。如果你年满50岁或免疫功能低下，请在符合条件时立即接种第二剂加强针。
